           1           1     n-y and n-csi grid
           1    Born index
           3    nkinreg
           1     i-y
           1     i-csi
   1.9748289701953572        0.0000000000000000       0.22331480550112845     
           2    Born index
           3    nkinreg
           1     i-y
           1     i-csi
   3.3114976216558216        0.0000000000000000       0.24180856955870150     
           3    Born index
           3    nkinreg
           1     i-y
           1     i-csi
  0.24826697430664021        0.0000000000000000       0.93216999478770035     
           4    Born index
           3    nkinreg
           1     i-y
           1     i-csi
  0.38130671463120752        0.0000000000000000       0.34435100435733318     
